episode,winner,p1_score,p2_score,score_diff,length,reward_p1,reward_p2
1,1,17.0,8.0,9.0,52,0.726927335424148,-0.726927335424148
2,1,-13.0,-47.0,34.0,66,0.7982432184426116,-0.7982432184426116
3,1,-40.0,-54.0,14.0,50,0.7417277343635373,-0.7417277343635373
4,-1,-48.0,-26.0,22.0,52,-0.7649554184479086,0.7649554184479086
5,1,79.0,-24.0,103.0,45,0.9321725019567526,-0.9321725019567526
6,1,-31.0,-182.0,151.0,64,0.9720817152911612,-0.9720817152911612
7,1,-76.0,-281.0,205.0,54,0.9902185003771354,-0.9902185003771354
8,-1,-188.0,12.0,200.0,83,-0.989208274022745,0.989208274022745
9,1,-63.0,-94.0,31.0,40,0.7901311291442962,-0.7901311291442962
10,1,132.0,53.0,79.0,1029,0.8975227107865753,-0.8975227107865753
11,1,19.0,-92.0,111.0,40,0.9412187174214677,-0.9412187174214677
12,1,30.0,-122.0,152.0,53,0.9726092975293338,-0.9726092975293338
13,-1,24.0,97.0,73.0,59,-0.8869196048717083,0.8869196048717083
14,-1,-70.0,-10.0,60.0,51,-0.8611148700994106,0.8611148700994106
15,-1,-23.0,65.0,88.0,49,-0.9119257961191706,0.9119257961191706
16,-1,89.0,99.0,10.0,41,-0.7299003983874867,0.7299003983874867
17,-1,-48.0,4.0,52.0,364,-0.8433100036505494,0.8433100036505494
18,-1,-148.0,38.0,186.0,56,-0.9858036531067234,0.9858036531067234
19,1,43.0,0.0,43.0,53,0.8215963926068388,-0.8215963926068388
20,-1,-52.0,-18.0,34.0,51,-0.7982432184426116,0.7982432184426116
21,-1,-77.0,61.0,138.0,44,-0.9642853804140992,0.9642853804140992
22,1,-4.0,-146.0,142.0,54,0.9668796773302394,-0.9668796773302394
23,1,39.0,-112.0,151.0,75,0.9720817152911612,-0.9720817152911612
24,1,18.0,-48.0,66.0,4068,0.8735090239133517,-0.8735090239133517
25,-1,4.0,57.0,53.0,48,-0.8456143271816114,0.8456143271816114
26,1,201.0,24.0,177.0,43,0.9830828272179144,-0.9830828272179144
27,1,26.0,6.0,20.0,50,0.7592125960674712,-0.7592125960674712
28,-1,-76.0,-50.0,26.0,51426,-0.7762886597879173,0.7762886597879173
29,1,31.0,-22.0,53.0,60,0.8456143271816114,-0.8456143271816114
30,-1,-34.0,75.0,109.0,45,-0.939063443261418,0.939063443261418
31,-1,-34.0,16.0,50.0,69,-0.8386351471780029,0.8386351471780029
32,1,43.0,41.0,2.0,59,0.7059992001279792,-0.7059992001279792
33,-1,-8.0,3.0,11.0,49,-0.7328675410643288,0.7328675410643288
34,-1,42.0,78.0,36.0,63,-0.8035642102406563,0.8035642102406563
35,-1,8.0,40.0,32.0,49,-0.7928520763637915,0.7928520763637915
36,-1,16.0,38.0,22.0,46,-0.7649554184479086,0.7649554184479086
37,-1,6.0,73.0,67.0,38,-0.8754939648642186,0.8754939648642186
38,1,156.0,93.0,63.0,63,0.8674156646678872,-0.8674156646678872
39,1,73.0,-31.0,104.0,48,0.9333664199731555,-0.9333664199731555
40,1,94.0,5.0,89.0,49,0.9134181195456887,-0.9134181195456887
41,-1,-121.0,-13.0,108.0,44,-0.9379597291250503,0.9379597291250503
42,1,-1.0,-65.0,64.0,38,0.8694698658538674,-0.8694698658538674
43,-1,-33.0,66.0,99.0,50,-0.9272086972649578,0.9272086972649578
44,1,75.0,12.0,63.0,49,0.8674156646678872,-0.8674156646678872
45,-1,-21.0,0.0,21.0,41,-0.7620899499188357,0.7620899499188357
46,-1,-32.0,48.0,80.0,55,-0.8992110310803547,0.8992110310803547
47,1,23.0,-1.0,24.0,39,0.7706487248615493,-0.7706487248615493
48,-1,57.0,106.0,49.0,78,-0.8362649298046777,0.8362649298046777
49,1,77.0,4.0,73.0,60,0.8869196048717083,-0.8869196048717083
50,-1,-184.0,-65.0,119.0,53,-0.9491736605615585,0.9491736605615585
51,-1,-111.0,125.0,236.0,34,-0.9946981597236354,0.9946981597236354
52,-1,-85.0,126.0,211.0,67,-0.9913085656015199,0.9913085656015199
53,1,-13.0,-22.0,9.0,52,0.726927335424148,-0.726927335424148
54,-1,-28.0,-21.0,7.0,53,-0.7209657670949287,0.7209657670949287
55,1,-4.0,-132.0,128.0,98,0.9569454746417492,-0.9569454746417492
56,1,26.0,-86.0,112.0,42,0.9422706749735843,-0.9422706749735843
57,1,66.0,-2.0,68.0,43,0.8774558186295449,-0.8774558186295449
58,1,-48.0,-93.0,45.0,51,0.8265697015750023,-0.8265697015750023
59,-1,-46.0,11.0,57.0,54,-0.8546077834022229,0.8546077834022229
60,1,86.0,-15.0,101.0,57,0.9297286054745317,-0.9297286054745317
61,-1,-21.0,-6.0,15.0,54,-0.7446655100869953,0.7446655100869953
62,1,112.0,-131.0,243.0,46,0.995385474471095,-0.995385474471095
63,-1,-9.0,-2.0,7.0,53,-0.7209657670949287,0.7209657670949287
64,1,4.0,-5.0,9.0,49,0.726927335424148,-0.726927335424148
65,1,8.0,-30.0,38.0,51,0.8088122402734153,-0.8088122402734153
66,-1,20.0,44.0,24.0,56,-0.7706487248615493,0.7706487248615493
67,-1,-210.0,89.0,299.0,55,-0.9984865315235382,0.9984865315235382
68,1,-11.0,-22.0,11.0,52,0.7328675410643288,-0.7328675410643288
